PassengerId,Survived,Probability
892,0,0.10544591207280725
893,0,0.37868508963615705
894,0,0.08783716097348196
895,0,0.10463535208681933
896,1,0.5808879183743955
897,0,0.158207469672847
898,1,0.6839607869666954
899,0,0.15454405373144145
900,1,0.7852313233497432
901,0,0.07054716524381228
902,0,0.1009512785643603
903,0,0.23528352468004568
904,1,0.9494421133743122
905,0,0.04991039128622157
906,1,0.6764923528014457
907,1,0.8322984222817539
908,0,0.20644099505479413
909,0,0.17361965189509415
910,1,0.5587538424908477
911,1,0.5781286333409248
912,0,0.20837691815205348
913,0,0.16379010948538597
914,1,0.9046300352111344
915,1,0.5398125841043286
916,1,0.9576101860864527
917,0,0.035011074510101006
918,1,0.9706383661621854
919,0,0.1659364286363479
920,0,0.4130954797408756
921,0,0.07805368287986726
922,0,0.07771193520058874
923,0,0.1342074607843058
924,0,0.4634843568820375
925,1,0.512227067823138
926,0,0.34873708069606535
927,0,0.18704794291438048
928,1,0.6368174905169797
929,1,0.6939962250381463
930,0,0.1120348441058266
931,0,0.12366471090805525
932,0,0.09135538402276237
933,1,0.525657803050164
934,0,0.06541243783400581
935,1,0.7859515921115572
936,1,0.8801091647822977
937,0,0.11130019846371267
938,0,0.468773397199397
939,0,0.1298528468649609
940,1,0.9085781469060304
941,1,0.5209599891915433
942,1,0.5110377169937907
943,0,0.2782797817047574
944,1,0.7061546613052074
945,1,0.8257447767147136
946,0,0.27154695037134025
947,0,0.06271502268389238
948,0,0.08009104718647092
949,0,0.11076984795907567
950,0,0.07520530002472954
951,1,0.9827688527425327
952,0,0.143452000833734
953,0,0.1798746981176478
954,0,0.138961784274599
955,1,0.7433093498997737
956,1,0.801028031628997
957,1,0.8039234908318947
958,1,0.7701827973428773
959,0,0.24269820614944013
960,1,0.593459972465778
961,1,0.7091693248386455
962,1,0.7292200870557193
963,0,0.1264975700146802
964,1,0.6282333628837685
965,1,0.614272705711276
966,1,0.9789746728129276
967,1,0.765681944225908
968,0,0.10101710516201352
969,1,0.8891748802051035
970,0,0.19048547825669288
971,1,0.7292200870557193
972,0,0.18993135242499853
973,0,0.3190925779089955
974,0,0.21623434279325285
975,0,0.1009512785643603
976,0,0.24977336468418543
977,0,0.10509668198379084
978,1,0.7072868692349956
979,1,0.7160643636266044
980,1,0.6995784494377016
981,0,0.29831343537691074
982,1,0.6096696667266454
983,0,0.10089973673001959
984,1,0.7165680632894604
985,0,0.10101710516201352
986,0,0.48994491099823034
987,0,0.11124012159270966
988,0,0.3839688190082586
989,0,0.09771226283585882
990,1,0.7008634302663321
991,0,0.08566939461705944
992,1,0.9209252038096118
993,0,0.16274752844712898
994,0,0.1298528468649609
995,0,0.10768794476102402
996,1,0.7113622551213038
997,0,0.10736815968416885
998,0,0.16144493037282534
999,0,0.1298528468649609
1000,0,0.10130035412258033
1001,0,0.4002919534431126
1002,0,0.18819605914734627
1003,1,0.6996073053481748
1004,1,0.9506819505567474
1005,1,0.7664493077632225
1006,1,0.8942572875627344
1007,0,0.14450203601760014
1008,0,0.13963768581123828
1009,0,0.49499518151821115
1010,1,0.60256760441458
1011,1,0.7382586077907668
1012,1,0.8773772696182791
1013,0,0.09419229242217629
1014,1,0.9402847032152354
1015,0,0.10067600586715508
1016,0,0.1298528468649609
1017,1,0.7083320584538687
1018,0,0.12248531831452417
1019,1,0.5487739482710652
1020,0,0.13204551673885848
1021,0,0.11500603698861823
1022,0,0.08855946607658446
1023,0,0.39616560605373047
1024,1,0.5487903952210086
1025,0,0.1016037584186164
1026,0,0.06111896797651611
1027,0,0.1149123636459571
1028,0,0.14677996811023516
1029,0,0.2139159055232122
1030,1,0.6777170630744783
1031,0,0.03011391922711338
1032,0,0.34716399791042696
1033,1,0.9328722618892732
1034,0,0.47439806327459094
